	0
C,CA,CB,CD1,CG1,CG2,H,HA,HB,HD11,HD12,HD13,HG12,HG13,HG21,HG22,HG23,N,NA,O	3
C,CA,CB,CD,CG,CU,H,HA,HB2,HB3,HG2,HG3,N,O,OE1,OE2	2
C,CA,H,HA,HB2,HB3,HD1,HE1,HE3,HH2,HZ2,HZ3,N,O	2
C,CA,H,HA,HB2,HB3,HE21,HE22,HG2,HG3,N,O	2
C,CA,CU,H,HA2,HA3,N,O	2
C,CA,CB,CD1,CD2,CE1,CE2,CG,CU,CZ,H,HA,HB2,HB3,HD1,HD2,HE1,HE2,HH,N,O,OH	2
C,CA,CB,CD2,CE1,CG,CL,H,HA,HB2,HB3,HD2,HE1,HE2,N,ND1,NE2,O	2
C,CA,CB,CG,CU,H,HA,HB2,HB3,N,O,OD1,OD2	2
C,CA,CB,CD2,CE1,CG,CL,H,HA,HB2,HB3,HD1,HD2,HE1,HE2,N,ND1,NE2,O	2
C,CA,H,HA,HB2,HB3,HD21,HD22,N,O	1
C,CA,CB,CD,CG,CZ,H,HA,HB2,HB3,HD2,HD3,HE,HG2,HG3,HH11,HH12,HH21,HH22,N,NE,NH1,NH2,O,OG	1
C,CA,CB,CD1,CD2,CG,H,HA,HB2,HB3,HD21,HD22,N,ND2,O,OD1	1
C,CA,CB,CD1,CG1,CG2,H,HA,HB,HG1,HG21,HG22,HG23,N,O	1
C,CA,CB,CD2,CE1,CG,H,HA,HB2,HB3,HD1,HD2,HE1,N,NA,ND1,NE2,O	1
C,CA,CB,CD,CG,HA,HB2,HB3,HD2,HD3,HG2,HG3,N,NA,O	1
C,CA,CB,CD2,CE1,CG,CU,H,HA,HB2,HB3,HD1,HD2,HE1,N,ND1,NE2,O	1
C,CA,CB,CD,CE,CG,N,NZ,O	1
C,CA,CB,CG,CL,H,HA,HB2,HB3,HD2,N,O,OD1,OD2	1
C,CA,CB,CG1,CG2,H,HA,HB,HG11,HG12,HG13,HG21,HG22,HG23,N,NA,O	1
C,CA,CB,H,HA,HB2,HB3,HG,N,NA,O,SG	1
C,CA,CB,CE,CG,CU,H,HA,HB2,HB3,HE1,HE2,HE3,HG2,HG3,N,O,SD	1
C,CA,CD2,CE1,H,HA,HB2,HB3,HD1,HD2,HE1,N,ND1,NE2,O	1
C,CA,CB,CD,CG,CZ,N,NE,NH1,NH2,O	1
C,CA,H,HA2,HA3,N,NA,O	1
C,CA,CB,CU,H,HA,HB2,HB3,HG,N,O,OG	1
C,CA,N,O	1
C,CA,CB,CD,CE,CG,CU,H,HA,HB2,HB3,HD2,HD3,HE2,HE3,HG2,HG3,HZ1,HZ2,HZ3,N,NZ,O	1
C,CA,CB,CG1,CG2,CU,H,HA,HB,HG11,HG12,HG13,HG21,HG22,HG23,N,O	1
C,CA,CB,CD,CE,CG,H,HA,HB2,HB3,HD2,HD3,HE2,HE3,HG2,HG3,HZ1,HZ2,HZ3,N,NA,NZ,O	1
C,CA,CB,CD2,CE1,CG,N,ND1,NE2,O	1
C,CA,CL,H,HA2,HA3,N,NA,O	1
C,CA,CB,CL,H,HA,HB2,HB3,HG,N,O,SG	1
C,CA,CB,CD2,CE1,CG,CL,H,HA,HB2,HB3,HD1,HD2,HE1,N,NA,ND1,NE2,O	1
C,CA,CB,CG,CU,H,HA,HB2,HB3,HD21,HD22,N,ND2,O,OD1	1
C,CA,CB,CG2,CU,H,HA,HB,HG1,HG21,HG22,HG23,N,O,OG1	1
C,CA,CB,N,O,OG	1
